timestamp,source_ip,destination_ip,protocol,flow_duration,packet_length,total_bytes,packet_count,attack_type,severity
2026-08-26 10:30:22,88.135.99.254,67.16.207.99,ICMP,717884,10160,7286736,7388,PortScan,Low
2026-08-26 10:30:22,70.21.22.186,201.99.32.111,UDP,450066,48074,3356183,8906,Botnet,High
2026-08-26 10:30:23,221.172.164.253,6.239.206.57,ICMP,627381,22259,9654807,2194,PortScan,Medium
2026-08-26 10:30:25,56.154.149.163,223.211.212.3,UDP,444788,65007,2217622,9036,BruteForce,High
2026-08-26 10:30:26,78.247.6.124,1.94.55.106,ICMP,865087,32375,3719186,8446,DDoS,Critical
2026-08-26 10:30:27,116.44.99.127,221.73.206.185,ICMP,537573,15696,9558055,1602,BruteForce,High
2026-08-26 10:30:28,82.46.63.198,102.139.170.78,UDP,769946,17610,3381931,4948,Botnet,Medium
2026-08-26 10:30:28,103.140.56.224,247.148.51.122,TCP,643967,43472,6842273,5537,DDoS,High
2026-08-26 10:30:30,174.161.188.11,52.55.200.136,UDP,258963,33295,5952228,2895,BENIGN,Low
2026-08-26 10:30:30,175.105.232.23,79.161.44.79,TCP,227611,34139,9621036,7315,BruteForce,Medium
2026-08-26 10:30:32,59.88.134.196,47.228.252.229,ICMP,83703,62763,625488,6059,Botnet,High
2026-08-26 10:30:33,210.81.5.7,206.251.43.127,UDP,460045,52365,6946580,3250,BENIGN,Low
2026-08-26 10:30:33,11.179.57.102,213.253.224.59,ICMP,513484,8731,6348874,1510,BENIGN,Low
2026-08-26 10:30:34,155.154.54.155,157.214.148.134,ICMP,730831,2793,172404,3835,Botnet,High
2026-08-26 10:30:35,218.134.229.2,172.107.245.90,UDP,721512,7615,2830905,1704,Botnet,Medium
2026-08-26 10:30:36,153.21.99.67,172.161.93.163,ICMP,266060,19869,1276580,8193,BENIGN,Low
2026-08-26 10:30:37,180.226.72.115,118.206.194.47,TCP,605760,37462,3872507,8895,DDoS,Critical
2026-08-26 10:30:39,207.168.153.203,239.174.253.11,TCP,541817,29308,8775071,4997,Botnet,High
2026-08-26 10:30:40,129.58.115.97,117.92.57.137,ICMP,69530,48769,7949194,7817,Botnet,High
2026-08-26 10:30:42,141.93.99.17,115.36.178.128,ICMP,277318,46676,6421078,4165,Botnet,High
2026-08-26 10:30:43,180.152.242.148,190.159.113.190,ICMP,931706,62094,5415025,3173,PortScan,Low
2026-08-26 10:30:43,135.8.225.115,215.145.51.229,UDP,562863,50593,5700921,7487,BENIGN,Low
2026-08-26 10:30:43,42.249.6.142,117.120.56.95,TCP,906456,28731,4786686,7669,PortScan,Medium
2026-08-26 10:30:44,30.230.173.48,144.215.124.137,TCP,22374,10018,5631068,7323,Botnet,High
2026-08-26 10:30:46,64.224.230.179,201.105.215.55,UDP,113379,64571,6496099,9524,BruteForce,High
2026-08-26 10:30:46,132.108.141.74,231.20.89.32,TCP,199254,33596,6143850,108,BruteForce,Medium
2026-08-26 10:30:46,250.3.131.139,230.160.132.74,ICMP,984151,50444,6761348,3432,BENIGN,Low
2026-08-26 10:30:46,100.218.224.144,157.203.111.247,ICMP,151483,16390,644538,5619,Botnet,Medium
2026-08-26 10:30:46,50.152.187.15,127.200.216.199,ICMP,390780,26557,9471493,301,PortScan,Low
2026-08-26 10:30:47,247.153.121.89,201.39.88.47,TCP,232466,49261,329504,8595,DDoS,High
2026-08-26 10:30:48,138.86.192.14,46.71.187.13,ICMP,646601,18988,9996908,1666,DDoS,High
2026-08-26 10:30:49,229.98.161.137,240.90.250.212,ICMP,65894,11162,7233442,570,PortScan,Medium
2026-08-26 10:30:49,159.224.60.44,61.82.229.230,TCP,864440,24857,4242133,3492,BruteForce,High
2026-08-26 10:30:50,101.228.148.197,242.24.212.202,UDP,821998,2951,9151998,1226,DDoS,High
2026-08-26 10:30:51,68.25.24.86,253.24.69.131,ICMP,641504,40088,9074456,2262,DDoS,Critical
2026-08-26 10:30:51,77.196.219.199,236.52.57.223,TCP,503319,61686,9597051,1750,BruteForce,Medium
2026-08-26 10:30:52,162.139.223.188,71.151.159.100,TCP,324788,18103,8487363,9394,PortScan,Medium
2026-08-26 10:30:52,188.189.166.68,176.195.0.224,ICMP,895696,23651,5558339,7840,BENIGN,Low
2026-08-26 10:30:54,169.156.232.247,179.110.229.29,ICMP,328011,37970,1954982,7961,PortScan,Medium
2026-08-26 10:30:55,184.160.83.238,199.218.90.34,ICMP,570647,12126,6474698,2577,Botnet,Medium
2026-08-26 10:30:56,119.159.140.197,155.48.24.234,ICMP,445699,37185,1453288,4595,BENIGN,Low
2026-08-26 10:30:56,39.34.99.218,75.10.58.155,UDP,972424,26955,8496152,1247,BruteForce,High
2026-08-26 10:30:57,169.110.23.83,169.84.48.185,TCP,523223,61481,9338606,2543,BruteForce,High
2026-08-26 10:30:58,97.146.171.216,177.27.72.97,UDP,903366,870,784739,4727,BENIGN,Low
2026-08-26 10:30:58,193.29.173.157,58.99.241.129,ICMP,660786,38904,8080502,5368,Botnet,Medium
2026-08-26 10:30:59,105.38.212.144,82.90.117.29,UDP,500169,13272,438117,610,BENIGN,Low
2026-08-26 10:31:01,66.244.253.26,215.167.68.92,UDP,640419,399,158223,2119,PortScan,Medium
2026-08-26 10:31:01,202.215.3.236,44.255.117.133,UDP,141810,20652,7983064,822,BruteForce,Medium
2026-08-26 10:31:01,1.40.57.119,22.79.61.237,TCP,793028,14503,5952409,7629,PortScan,Medium
2026-08-26 10:31:02,201.61.46.219,72.172.103.210,ICMP,788813,34388,8848024,1945,BruteForce,High
2026-08-26 10:31:02,225.189.191.82,24.106.243.238,ICMP,498901,55112,8190053,2464,BENIGN,Low
